oportunidade;empresa;data_criacao;data_envio_proposta;data_fechada;data_ultima_modificacao;valor;fase_comercial;nova_venda;finalidade;origem;departamento;motivo_perdido;tipo_venda;erp;pagamento;produto;sku;quantidade;vendedor
955391;Empresa 3117;18/04/2022;09/05/2022;03/05/2022;09/05/2022;1239.99;Projeto em andamento;NV - 0021834;Uso e consumo;;"CLIMATIZAÇÃO; ELETRODOMESTICOS; ELETRONICOS (TVs); INFORMÁTICA E ACESSÓRIOS; MÓVEIS - ESCRITÓRIO";;Cotação;;Boleto;Multifuncional Epson Ecotank L3250 Wi-Fi - Tanque de Tinta;3831314123;1;Vendedor K
962217;Empresa 166;10/05/2022;10/05/2022;;14/06/2022;14367;Fechada e Perdida;NV - 0022647;Uso e consumo;;TELEFONIA;;Cotação;;Faturado;"3 iPhone 11 Apple (128GB) Preto tela 6,1"" Câmera 12MP iOS";1611318026;3;Vendedor R
962531;Empresa 223;12/05/2022;10/05/2022;19/05/2022;19/05/2022;168228;Congelada;NV - 0022790;Revenda;;INFORMÁTICA E ACESSÓRIOS;;Cotação;;Boleto;Webcam Full HD Logitech C920s com Microfone Embutido Proteção de Privacidade Video Widescreen 1080p - Compatível com Logitech Capture;177510903;400;Vendedor G
962166;Empresa 1109;10/05/2022;10/05/2022;10/05/2022;10/05/2022;28049.95;Projeto em andamento;NV - 0022623;Uso e consumo;;;;;;;Papel Chamex A4 75g Pacote 500 folhas;5425394;2005;Vendedor K
962213;Empresa 3242;10/05/2022;10/05/2022;16/05/2022;16/05/2022;30657;Fechada e Perdida;NV - 0022646;Uso e consumo;;INFORMÁTICA E ACESSÓRIOS;Cliente - Desistência da compra;Cotação;;Boleto;Pinpad Ingenico Lane/3000 USB Serial Ethernet;3806177796;33;Vendedor S
962165;Empresa 3243;10/05/2022;10/05/2022;16/05/2022;16/05/2022;54890;Fechada e Perdida;NV - 0022622;Revenda;;TELEFONIA;Cliente - Desistência da compra;Cotação;;Boleto;iPhone 13 Apple 128GB iOS 5G Wi-Fi Tela 6.1'' Câmera Dupla 12MP - Meia-Noite;4864625500;10;Vendedor S
962159;Empresa 2492;10/05/2022;10/05/2022;16/05/2022;16/05/2022;92490;Fechada e Perdida;NV - 0022619;Uso e consumo;;PCS;Cliente - Desistência da compra;Cotação;;Boleto;Notebook Gamer Dell G15-i1100-M50P 15.6 fhd 11ª Geração Intel Core i7 16GB 512GB ssd nvidia rtx 3060 Windows 11;4068990565;10;Vendedor S
962614;Empresa 3244;13/05/2022;10/05/2022;13/05/2022;13/05/2022;3580;Projeto em andamento;NV - 0022829;Uso e consumo;;;;;;;Papel Chamex A4 75g Pacote 500 folhas;5425394;200;Vendedor K
962529;Empresa 2502;12/05/2022;10/05/2022;07/06/2022;07/06/2022;337397.59;Congelada;NV - 0022787;Revenda;;CLIMATIZAÇÃO;;Cotação;;Boleto;Ar Condicionado Split Philco 9000 BTUs PAS9200F1 Frio - 220V;4183904757;241;Vendedor G
962528;Empresa 1133;12/05/2022;10/05/2022;19/05/2022;19/05/2022;228117.6;Congelada;NV - 0022786;Revenda;;PCS;;Cotação;;Boleto;"Notebook Vaio FE15 Intel Core i3-10110U 4GB 128GB SSD Linux 15.6"" Chumbo Escuro";3529354950;80;Vendedor G
