Oportunidade;Empresa;Data_criacao;Data_envio_proposta;Data_fechada;Data_última_modificação;Valor;Fase_Comercial;Nova_Venda;Finalidade;Origem;Departamento;Motivo_perdido;Tipo_venda;ERP;Pagamento;Produto;SKU;Quantidade;Vendedor
991328;EMPRESA 4;07/02/2023;01/02/2023;07/02/2023;07/02/2023;3865,98;Fechada e Ganha;NV - 0031957;Uso e consumo;;ELETRODOMESTICOS;;;;Faturado;Freezer Horizontal Metalfrio DA420 2 tampas 419 litros Branco Dupla A;297958;1;VENDEDOR K
990572;EMPRESA 5322;31/01/2023;01/02/2023;;01/02/2023;3839,76;Fechada e Perdida;NV - 0031758;Uso e consumo;Caixa Off;BRINQUEDOS;B2W - Estoque (Falta de produto);Cotação;;Boleto;Brinquedo Infantil 25 Carrinhos Miniaturas Carros Sortidos;;;VENDEDOR E
990556;EMPRESA 2331;31/01/2023;01/02/2023;14/02/2023;14/02/2023;11019,98;Fechada e Perdida;NV - 0031748;Uso e consumo;Caixa Off;INFORMÁTICA E ACESSÓRIOS;Cliente - Desistência da compra;Cotação;;Faturado;Monitor gamer;;;VENDEDOR F
990719;;01/02/2023;01/02/2023;01/02/2023;06/02/2023;899,5;Fechada e Ganha;NV - 0031798;Uso e consumo;Caixa Off;PAPELARIA;;Cotação;;Faturado;Papel Chamex A4 75g Caixa com 10 Pacotes 500 folhas;4063540231;5;VENDEDOR M
990720;;01/02/2023;01/02/2023;01/02/2023;06/02/2023;1619,1;Fechada e Ganha;NV - 0031799;Uso e consumo;Caixa Off;PAPELARIA;;Cotação;;Faturado;Papel Chamex A4 75g Caixa com 10 Pacotes 500 folhas;4063540231;9;VENDEDOR M
990718;;01/02/2023;01/02/2023;01/02/2023;06/02/2023;899,5;Fechada e Ganha;NV - 0031797;Uso e consumo;Caixa Off;PAPELARIA;;Cotação;;Faturado;Papel Chamex A4 75g Caixa com 10 Pacotes 500 folhas;4063540231;5;VENDEDOR M
989674;EMPRESA 5128;24/01/2023;01/02/2023;02/02/2023;02/02/2023;1000;Fechada e Perdida;NV - 0031582;Uso e consumo;Caixa Off;;Cliente - Estoque - falta de produto;Cotação;;Faturado;;;2;VENDEDOR K
990420;EMPRESA 4721;30/01/2023;01/02/2023;01/02/2023;01/02/2023;2279,04;Fechada e Ganha;NV - 0031722;Uso e consumo;Caixa Off;ELETRODOMESTICOS;;Cotação;;Faturado;Geladeira/Refrigerador Electrolux DC35A Branca 260L Cycle Defrost - 110v;111957462;1;VENDEDOR E
990717;;01/02/2023;01/02/2023;01/02/2023;06/02/2023;3598;Fechada e Ganha;NV - 0031796;Uso e consumo;Caixa Off;PAPELARIA;;Cotação;;Faturado;Papel Chamex A4 75g Caixa com 10 Pacotes 500 folhas;4063540231;20;VENDEDOR M
990416;EMPRESA 3212;30/01/2023;01/02/2023;;10/02/2023;5614,99;Fechada e Perdida;NV - 0031721;Uso e consumo;Caixa Off;TELEFONIA;Cliente - Desistência da compra;Cotação;;Faturado;Apple iPhone 13 5G 128GB - Preto;;1;VENDEDOR E
990716;;01/02/2023;01/02/2023;01/02/2023;01/02/2023;360;Fechada e Ganha;NV - 0031794;Uso e consumo;Caixa Off;PAPELARIA;;Cotação;;Faturado;Papel Sulfite HP Office A4 75g;5362100412;20;VENDEDOR M
990404;EMPRESA 2482;30/01/2023;01/02/2023;;13/02/2023;6007,99;Fechada e Perdida;NV - 0031717;Uso e consumo;Caixa Off;TELEFONIA;Cliente - Desistência da compra;Cotação;;Faturado;Smartphone Samsung Galaxy A53 5G 128GB;;2;VENDEDOR E
990401;EMPRESA 5429;30/01/2023;01/02/2023;;27/02/2023;90;Fechada e Perdida;NV - 0031716;Uso e consumo;Caixa Off;UTILIDADES DOMESTICAS;Cliente - Não informado / sem retorno;Cotação;;Faturado;copo papel;;;VENDEDOR L
990684;EMPRESA 4666;01/02/2023;01/02/2023;01/02/2023;01/02/2023;51,41;Fechada e Ganha;NV - 0031782;;Caixa Off;PAPELARIA;;Catálogo;Smarkets;Faturado;;;;VENDEDOR O
990675;EMPRESA 4720;01/02/2023;01/02/2023;;03/02/2023;15999,9;Fechada e Perdida;NV - 0031781;Revenda;Caixa Off;ELETROPORTÁTEIS;Cliente - Preço;Cotação;;Boleto;Chopeira Philco Pcc05i 110v - Preto e Inox;;10;VENDEDOR C
990671;EMPRESA 5394;01/02/2023;01/02/2023;;03/02/2023;153959;Fechada e Perdida;NV - 0031780;Revenda;Caixa Off;BRINQUEDOS;Cliente - Preço;Cotação;;Boleto;LEGO Classic - Caixa Média de Peças Criativas;;400;VENDEDOR C
990521;EMPRESA 5430;31/01/2023;01/02/2023;14/02/2023;14/02/2023;56999,9;Fechada e Perdida;NV - 0031743;Uso e consumo;Caixa Off;INFORMÁTICA E ACESSÓRIOS;Cliente - Desistência da compra;Cotação;;Faturado;Projetores;;;VENDEDOR F
990386;EMPRESA 99;30/01/2023;01/02/2023;14/02/2023;14/02/2023;2037,45;Fechada e Perdida;NV - 0031710;Uso e consumo;Caixa Off;ELETROPORTÁTEIS;Cliente - Desistência da compra;Cotação;;Faturado;Cartão de memória, microfones e mochila.;;;VENDEDOR F
990391;EMPRESA 3212;30/01/2023;01/02/2023;14/02/2023;14/02/2023;3650,65;Fechada e Ganha;NV - 0031712;Uso e consumo;Caixa Off;ELETRODOMESTICOS;;Cotação;;Faturado;1 Geladeira/Refrigerador Electrolux Frost Free;;1;VENDEDOR E
990632;EMPRESA 4;01/02/2023;01/02/2023;01/02/2023;01/02/2023;800;Fechada e Perdida;NV - 0031775;Uso e consumo;Caixa Off;PAPELARIA;Cliente - Estoque - falta de produto;Cotação;;Faturado;;;;VENDEDOR K
